Title,								Artist,				Genre,
No You Girls,						Franz Ferdinand,	Indie rock
Restless,							Kakkmaddafakka,		Indie rock
Everyday I Love You Less and Less,	Kaiser Chiefs,		Indie rock
Eez-eh,								Kasabian,			Indie rock
Float On,							Modest Mouse,		Indie rock
Ain't No Rest For The Wicked		Cage The Elephant,	Indie rock
The Middle							Jimmy Eat World,	Indie rock
Chelsea Dagger,						The Fratellis,		Indie rock
Reptilia,							The Strokes,		Indie rock
Wreckin' Bar						The Vaccines,		Indie rock
Let's Dance To Joy Division,		The Wombats,		Indie rock

Feel It Still,						Portugal. The Man	???
Video Games,						Monarchy,			???

(Nice Dream),						Radiohead,			Ambient
Shadow,								Wild Nothing,		Ambient
Beyond Love,						Beach House,		Ambient
Sugar for the Pill,					Slowdive,			Ambient
No Longer Making Time,				Slowdive,			Ambient
I'm So Tired,						Fugazi,				Ambient,		Sad


Teadrop,							Massive Attack,     Ambient,      psychodelic-new horizon,

Doused,								DIIV				???			Bruma guitarrera, hacia delante, no para


Elephant Gun,						Beirut,				Indie		,  
All Night,							Crystal Fighters

Fascinado,  Sidonie,  pre-party
Fan de Ti,  Sidecars, indie-pop

Pequeña Gran Revolución,			IZAL
Pánico Práctico,					IZAL
Emborracharme,						Lori Meyers
12&Medio,							Varry Brava
Satánica,							Varry Brava
La Tormenta de arena,				Dorian
Tecnicolor,							Supersubmarina
Carreteras Infinitas,				Sidonie

Ca Plane Pour Moi,					Plastic Bertrand,	Fiesta

Don't Look Back In Anger,			Oasis
Bizarre Love Triangle Music,		New Order,			80
Love Will Tear Us Apart,			Joy Division,		80
Friday I'm In Love,					The Cure,			80
Everyday Is Like Sunday,			Morrissey,			80

Psycho Killer - 2005 Remastered Version,	Talking Heads


Atmosphere,							Joy Division,				Buena para empezar
This Charming Man,					The Smiths
The Killing Moon,					Echo & the Bunnymen
Bigmouth Strikes Again,				The Smiths
Range Life,							Pavement
Age Of Consent,						New Order
The First Of The Gang To Die,		Morrissey
She's Lost Control,					Joy Division
Out of Mind,						DIIV
The Start Of Something,				Voxtrot



Mr. Jones,							Counting Crows
The Joker,							Steve Miller,						Country
Sweet Jane,							The Velvet Underground,				Country
Aloha Ke Akua,						Nahko and Medicine for the People,	World
Luzbel,								Arce,								Rap
Nuvole Bianche,						Ludovico Einaudi,					Piano
