Title,							Artist
Chinches,						Amatria
Tumbado En Mi Moqueta Azul,		Anni B Sweet
Que Electricidad,				Carlos Sadness
No Vuelvas a Japon,				Carlos Sadness
Sputnik (El Dia Que Dejaste la Tierra),	Carlos Sadness
Que No,							Deluxe
Diciembre,						DePedro
Los Amigos Que Perdí,			Dorian
Toro							El Columpio Asesino
Ballenas Muertas en San Sebastián - David Kano Rework,	El Columpio Asesino
El Baile,						IZAL
La Mujer de Verde,				IZAL
Asuntos Delicados,				IZAL
El pensamiento circular,		Ivan Ferreiro
Mi Fábrica de Baile,			Joe Crepúsculo
La canción de tu vida,			Joe Crepúsculo
Un Demonio Con Piel de Cordero,	Joe Crepúsculo
Con mi voz,						Mäbu
Es suave la voz,				Mi Capitán
Verano Fatal,					Nacho Vegas & Christina Rosenvinge
Marsha,							Neuman
Todo Va a Cambiar,				Niños Mutantes
Fiesta Tropical,				Novedades Carminha
Un Buen Dia,					Los Planetas
Ser Brigada,					León Benavente
Ayer,							La Habitación Roja
Indestructibles,				La Habitación Roja
Luces De Neón,					Lori Meyers
Zona De Confort,				Lori Meyers
Evolución,						Lori Meyers
A Veces Ni Eso,					La Bien Querida
Recompensarte,					La Bien Querida
Camino,							Los Punsetes
Club de fans de John Boy,		Love of Lesbian
Automaticamente,				LUIS BREA
Magnolia,						Rufus T. Firefly
Primera Vez,					Second
En Mis Venas,					Supersubmarina
Estáis Aquí,					Sidonie
Marte,							Tigres Leones
Pacífico,						The Noises
Copenhague,						Vetusta Morla
Patagonia,						Xoel López
A Dónde Ir,						Viva Suecia
Bien por Ti,					Viva Suecia
Hemos Ganado Tiempo,			Viva Suecia
Crash,							Zahara
